10 20 30 40 50 60 70 80 90 100 110 120 130 140 150 160 170 180 190 200
1 0.096089 0.168887 0.254267 0.323074 0.471723 0.564362 0.582283 0.781281 0.892960 0.829318 1.065593 1.074239 1.296238 1.328977 1.547880 1.525209 1.679798 1.671018 1.850992 2.071166
2 0.097451 0.170884 0.293068 0.341399 0.462837 0.513158 0.630577 0.690160 0.859413 0.930770 0.992635 1.056956 1.247579 1.449227 1.469826 1.542658 1.857149 1.758774 1.837906 1.961038
3 0.097349 0.170414 0.296834 0.329611 0.474605 0.520480 0.620199 0.784911 0.823026 0.933518 1.093250 1.184428 1.081457 1.193847 1.276309 1.385936 1.840497 1.757431 1.837924 2.008741
4 0.063066 0.174277 0.268254 0.387303 0.465127 0.554689 0.573833 0.805474 0.842467 0.967372 1.048592 1.164293 1.233878 1.252840 1.446821 1.763710 1.671658 1.733923 2.016428 1.981780
5 0.063479 0.177173 0.261360 0.375681 0.399514 0.581972 0.569480 0.744116 0.878682 0.929501 1.025619 1.164748 1.210619 1.365220 1.406657 1.518882 1.723850 1.760069 1.962398 1.870622
6 0.062981 0.169595 0.270131 0.338081 0.386413 0.496260 0.567873 0.667524 0.811496 0.911210 1.017179 1.131335 1.163076 1.407680 1.445106 1.630679 1.733251 1.827308 2.136148 1.897740
7 0.062948 0.169540 0.240762 0.314327 0.421112 0.501084 0.701948 0.730699 0.880063 0.971002 1.058069 1.107721 1.247975 1.296862 1.357259 1.723626 1.575808 1.791761 1.955437 1.985786
8 0.063151 0.156792 0.237528 0.322296 0.451904 0.432070 0.706531 0.770394 0.834295 0.960034 0.966616 1.122524 1.294360 1.326858 1.534151 1.412169 1.615720 1.778814 1.883045 2.013573
9 0.063217 0.156199 0.244785 0.324261 0.453746 0.567920 0.662530 0.678034 0.829282 1.011097 1.131230 1.139174 1.147494 1.356214 1.273149 1.430063 1.699193 1.703127 1.795037 2.068245
10 0.062682 0.157736 0.206314 0.365069 0.481494 0.568753 0.662512 0.689059 0.772126 1.034750 1.094521 1.195219 1.315634 1.443504 1.466384 1.592073 1.735824 1.796911 1.832264 1.863913
